Experiment,High,Medium,Low,NoConsv
Grimson,0.94**,0.22*,0,0
Linsley,0.83**,0.3*,0,0.09*
Lim,0.25*,0,0,0.5*
Jackson,0.42*,0,0.06*,0.03*
Baek,0,0.33*,0,0
Selbach,0,0,0,0
Baek MA,0,0,0,0.33*
Selbach MA,0.8**,0.6**,0,0.2*
Selbach LNA,0,0,1**,0
Linsley OME,0,0,0.5*,0
